id,send_date,comment
193,2016/11/20 18:32,初代本子王
194,2016/11/20 18:33,不愧是60FPS，真爽
195,2016/11/20 18:35,硬币走起
196,2016/11/20 18:36,上面的黄字不要误导小同学好么，这里的3D效果是新剧场版画面
197,2016/11/20 18:37,新剧场版出来的晚用了很多3D效果的渲染
198,2016/11/20 18:37,量产机去死啦！
199,2016/11/20 18:39,至于喜欢哪一款就看各位了
200,2016/11/20 18:40,画质好评
201,2016/11/20 18:42,弹幕支援
202,2016/11/20 18:43,观看比弹幕多系列！！！
203,2016/11/20 18:43,画质爆炸了，只有我还是纯洁的白色
204,2016/11/20 18:44,真的有这样的画质吗？
205,2016/11/20 18:44,这个我看过的eva不一样
206,2016/11/20 18:46,番名《新世纪福音战士》，绝对的经典
207,2016/11/20 18:46,剪辑的时候软件都是默认30帧，视频60帧看不出个所以然
208,2016/11/20 18:49,TV版年代早画面没有这么酷炫，但是确实有很多人生观的反思
209,2016/11/20 18:49,EVA永垂不朽 真希波永远是女神
210,2016/11/20 18:50,啊啊啊啊啊啊啊啊啊啊女神爱你啊啊
211,2016/11/20 18:50,瞬间爆炸
212,2016/11/20 18:50,啊啊啊啊啊啊啊啊啊啊这也是女神爱你爱你
213,2016/11/20 18:51,这是什么番（滑稽
214,2016/11/20 18:59,刚刚最后一个画面好像是原版eva
215,2016/11/20 18:59,火钳刘明
216,2016/11/20 19:07,钢炼乱入
217,2016/11/20 19:08,请收下我的硬币
218,2016/11/20 19:09,迷之颤抖
219,2016/11/20 19:09,我想看真人版
220,2016/11/20 19:10,看了5集没看懂
221,2016/11/20 19:11,没人么
222,2016/11/20 19:13,画质感人
223,2016/11/20 19:20,爆炸了！
224,2016/11/20 19:22,我才是暂停成功。
225,2016/11/20 19:25,重置版？
226,2016/11/20 19:27,我们的征途是星辰大海
227,2016/11/20 19:31,我大eva还能再战500年
228,2016/11/20 19:33,帅炸了
229,2016/11/20 19:34,做的好棒啊
230,2016/11/20 19:39,不就是硬币吗
231,2016/11/20 19:42,eva
232,2016/11/20 19:42,硬币我给了
233,2016/11/20 19:44,壮大我EVA
234,2016/11/20 19:44,EVA
235,2016/11/20 19:46,硬币，我留你何用！
236,2016/11/20 19:46,交BGM不杀
237,2016/11/20 19:47,我也是倒着看玩的。。。。根本接不上的说
238,2016/11/20 19:53,腻害了
239,2016/11/20 19:57,Eva   赞一个
240,2016/11/20 19:59,火钳刘明
241,2016/11/20 20:03,请问这是什么 动画
242,2016/11/20 20:04,额……都发生了点啥
243,2016/11/20 20:04,卧槽！画质逆天
244,2016/11/20 20:07,大触太可怕了！
245,2016/11/20 20:08,eva必须来捧场
246,2016/11/20 20:10,为什么不能问这算什么番
247,2016/11/20 20:12,燃爆了
248,2016/11/20 20:14,神
249,2016/11/20 20:17,火钳刘明
250,2016/11/20 20:21,留下弹幕
251,2016/11/20 20:24,童年阴影＋1
252,2016/11/20 20:26,话说为毛夹着钢炼？？我看到了打开星球之门的画面
253,2016/11/20 20:28,计数器君。。。
254,2016/11/20 20:29,不就是硬币么？！ 我给 ！
255,2016/11/20 20:35,贼tm爽
256,2016/11/20 20:36,开头见
257,2016/11/20 20:36,见图滚
258,2016/11/20 20:37,1
259,2016/11/20 20:39,入宅番
260,2016/11/20 20:40,暂停颜表
261,2016/11/20 20:41,讲真我第一次听说EVA是因为无限恐怖，那个罗什么融合了初代机是吧
262,2016/11/20 20:42,画质爆炸
263,2016/11/20 20:44,这画质 这bgm。我服 硬币拿走
264,2016/11/20 20:48,初号機は瀋黙、精神汚染異常、暴走状態と確認されている。
265,2016/11/20 20:54,卡在这里作纪念
266,2016/11/20 20:55,绝对经典
267,2016/11/20 20:58,重制版的，up主，求云盘
268,2016/11/20 21:01,21:9赛高！
269,2016/11/20 21:02,可以，这很科学
270,2016/11/20 21:06,没人？！
271,2016/11/20 21:07,没人？！
272,2016/11/20 21:09,z
273,2016/11/20 21:10,那里还有最后一部剧场版笑！
274,2016/11/20 21:10,不一样!我一脸懵逼!
275,2016/11/20 21:11,AIR力场!
276,2016/11/20 21:14,画质赞
277,2016/11/20 21:15,瞅我一眼就浑身发抖
278,2016/11/20 21:23,使徒快跑啊！初号机没电了！
279,2016/11/20 21:26,b站以前有剧场版的 。。。。
280,2016/11/20 21:27,前面那个神tm天鹰战士
281,2016/11/20 21:28,求大神告诉我歌名
282,2016/11/20 21:31,想看初号机.. 一整集都是没点的状态
283,2016/11/20 21:32,每一帧都好美！
284,2016/11/20 21:36,什么鬼
285,2016/11/20 21:42,第一顿饭好多个好大雨：cy
286,2016/11/20 21:42,哇，光头
287,2016/11/20 21:45,THE END OF EVANGELION
288,2016/11/20 21:45,见eva就滚进来了
289,2016/11/20 21:47,染炸了
290,2016/11/20 21:52,这画质- -真的是00前的么
291,2016/11/20 21:53,壮哉我大eva
292,2016/11/20 21:56,封面滚
293,2016/11/20 21:59,有生之年系列
294,2016/11/20 21:59,啥番？屌大的说一下
295,2016/11/20 22:00,你们爱不爱薰
296,2016/11/20 22:01,壮哉我大EVA
297,2016/11/20 22:05,白骑士-月光
298,2016/11/20 22:06,漫长的3分钟
299,2016/11/20 22:09,就记得凌波领和飞鸟  忘了男主叫啥
300,2016/11/20 22:11,真心为你才是真结局。。新剧场只是骗钱计划罢了
301,2016/11/20 22:13,都是有一些我没看过的也
302,2016/11/20 22:14,凌波女神
303,2016/11/20 22:15,这个为什么和我看的画质不一样？
304,2016/11/20 22:16,这漫我就看了一点点 觉得好虐啊
305,2016/11/20 22:16,竟然有不知道EVA的
306,2016/11/20 22:16,卧槽 太牛逼了向UP主致敬
307,2016/11/20 22:17,还是最喜欢初号机
308,2016/11/20 22:18,暂停成功
309,2016/11/20 22:20,居然有人不知道EVA，是混二次元的么
310,2016/11/20 22:20,暂停成功
311,2016/11/20 22:21,我大EVA不能没有我的弹幕～
312,2016/11/20 22:22,eva  是神作  它包含了宗教哲理  所以叫新世纪福音战士
313,2016/11/20 22:23,弹幕了
314,2016/11/20 22:25,1号机不是没电最猛，是妈妈觉醒了。
315,2016/11/20 22:26,并不好看，太晃了
316,2016/11/20 22:28,eva  是由使徒细胞培养而来  暴走就是使徒意识觉醒
317,2016/11/20 22:29,EVA再战100年
318,2016/11/20 22:30,见封滚1001
319,2016/11/20 22:30,交出封面
320,2016/11/20 22:32,为什么我看的EVA只有30帧，这视频帧数这么高
321,2016/11/20 22:33,跪求bgm
322,2016/11/20 22:38,我打Eva
323,2016/11/20 22:38,我大Eva
324,2016/11/20 22:40,爆炸爆炸
325,2016/11/20 22:42,老夫要这硬币何用
326,2016/11/20 22:42,火钳刘明
327,2016/11/20 22:43,默认
328,2016/11/20 22:44,看的我想再去补一边剧场版了
329,2016/11/20 22:45,第三遍
330,2016/11/20 22:50,最爱的动漫没有之一
331,2016/11/20 22:52,这波看得太爽了
332,2016/11/20 22:52,没有永远流行的番剧，只有不灭的EVA
333,2016/11/20 22:53,怎么能这么帅
334,2016/11/20 22:53,开头见，硬币已投
335,2016/11/20 22:54,画质赞
336,2016/11/20 22:59,厉害了
337,2016/11/20 22:59,开头见
338,2016/11/20 22:59,厉害了
339,2016/11/20 23:00,求BGM
340,2016/11/20 23:01,这个做的屌爆了
341,2016/11/20 23:02,我的眼球怀孕了
342,2016/11/20 23:04,妈的超棒
343,2016/11/20 23:05,真人版
344,2016/11/20 23:06,厉害了我的姐
345,2016/11/20 23:06,Q算个卵 那不算EVA
346,2016/11/20 23:07,看见eva就进来了
347,2016/11/20 23:07,大多数都是Q，破 序里面的内容
348,2016/11/20 23:07,前方高能
349,2016/11/20 23:08,*加一
350,2016/11/20 23:08,我直接讲明白 这视频不可能60fps
351,2016/11/20 23:08,顶
352,2016/11/20 23:09,EVA涉及的东西太多，和现在的动漫不是一个档次
353,2016/11/20 23:09,庵野秀明神经了，eva剧场版要弃坑。
354,2016/11/20 23:10,见EVA滚
355,2016/11/20 23:10,黑客帝国乱入。
356,2016/11/20 23:11,碇真嗣大魔王
357,2016/11/20 23:12,当年神tmd被引进了，小孩子可以去搜新世纪神鹰战士
358,2016/11/20 23:14,这节奏棒棒
359,2016/11/20 23:15,都好都好动画
360,2016/11/20 23:16,b
361,2016/11/20 23:16,至今心理阴影的量产机。。。
362,2016/11/20 23:17,前面童年阴影的别走
363,2016/11/20 23:21,就冲EVA就给硬币
364,2016/11/20 23:24,前方高能 预警版
365,2016/11/20 23:25,重制版要是出
366,2016/11/20 23:25,新世纪福音战士
367,2016/11/20 23:26,eva赛高
368,2016/11/20 23:27,暂停……
369,2016/11/20 23:28,前方核能 红色预警
370,2016/11/20 23:28,感觉会被和谐掉，赶快下载
371,2016/11/20 23:28,前方核能 红色预警
372,2016/11/20 23:29,EVA确实本子多   初代三无傲娇弱受
373,2016/11/20 23:29,好久没看见eva了
374,2016/11/20 23:29,不懂eva倒是懂痞子因为q被人骂惨了
375,2016/11/20 23:30,EVA，我回来了
376,2016/11/20 23:30,这画质
377,2016/11/20 23:30,前方核能 红色预警
378,2016/11/20 23:30,赞   壮哉我大EVA
379,2016/11/20 23:30,画质66666
380,2016/11/20 23:30,前方核能 红色预警
381,2016/11/20 23:31,走你
382,2016/11/20 23:32, 剧场版4部：真心为你 破 续 Q   第五的还没出
383,2016/11/20 23:32,暂停成功
384,2016/11/20 23:32,核能 预警 核能 预警 核能 核能 预警
385,2016/11/20 23:33,核能 预警 核能 预警 核能 核能 预警
386,2016/11/20 23:33,核能 预警 核能 预警 核能 核能 预警
387,2016/11/20 23:33,核能 预警 核能 预警 核能 核能 预警
388,2016/11/20 23:33,AV画质
389,2016/11/20 23:34,好燃，我要去重看一遍了
390,2016/11/20 23:35,卡在这了
391,2016/11/20 23:37,我大Eva还能再战100年
392,2016/11/20 23:39,这BGM 这画质我服  给你硬币
393,2016/11/20 23:39,赞同
394,2016/11/20 23:41,厉害了我的哥
395,2016/11/20 23:47,钢炼乱入闹哪样
396,2016/11/20 23:49,我曹，eva啥时候有这画质的？
397,2016/11/20 23:50,我大EVA还能再战五百年！！！
398,2016/11/20 23:50,啥时候出第四部
399,2016/11/20 23:50,好赞
400,2016/11/20 23:50,av1267666  BGM一样
401,2016/11/20 23:50,画质爆炸！！！！
402,2016/11/20 23:51,什么眼张开，什么驾驶舱插入··太污就来
403,2016/11/20 23:52,走轮子这段背景是黑客帝国动画版机器的复兴
404,2016/11/20 23:52,6666666666看的我都起鸡皮疙瘩了
405,2016/11/20 23:55,这BGM听的我还难受
406,2016/11/20 23:56,节奏感爆崩，跟着帧数跳动的很震撼！
407,2016/11/20 23:56,钢炼乱入
408,2016/11/20 23:56,画面拖拽感跟着音乐配合到爆
409,2016/11/20 23:58,等等。。。我好像看到“瓶中小人”（钢炼）了
410,2016/11/21 0:00,画质感人
411,2016/11/21 0:00,这个是十三号啦
412,2016/11/21 0:03,好帅
413,2016/11/21 0:03,花了不少时间啊
414,2016/11/21 0:05,这是什么鬼
415,2016/11/21 0:05,无限恐怖的站住等等我
416,2016/11/21 0:09,好帅
417,2016/11/21 0:12,投吧
418,2016/11/21 0:16,瞬间爆炸
419,2016/11/21 0:16,(ノ°ο°)ノ前方高能预警
420,2016/11/21 0:16,"(*°ω°*)?""非战斗人员请撤离！！"
