title,area,price,low_price,high_price,avg,type,storage,halls,good,ok,bad,address,phone_num
荷田大酒店,江夏区,1699,1699,1699,1699,星级酒店,40,5,1,0,0,武汉市江夏区东湖新技术开发区滨湖路16号,027-87823715
知音号怀旧游轮婚典,江岸区,,0,0,0,特色场地,10,1,1,0,0,武汉市江岸区沿江大道183号,027-87823715
江城明珠豪生大酒店,江岸区,2888,2888,2888,2888,星级酒店,10,3,2,0,0,武汉市江岸区沿江大道182号,027-87823715
武汉光谷希尔顿酒店,东西湖区,3688-5988,3688,5988,4838,星级酒店,90,3,2,0,0,武汉市东湖开发区东湖新技术开发区花山生态新城春和路9号,027-87823761
武汉光谷凯悦酒店,洪山区,3299-3599,3299,3599,3449,星级酒店,36,2,2,0,0,武汉市洪山区东湖广场1077号,
武汉马哥孛罗酒店,江岸区,3399-4099,3399,4099,3749,星级酒店,18,2,2,0,0,武汉市江岸区沿江大道159号,027-87823715
武汉梨园大酒店,武昌区,1688-2288,1688,2288,1988,星级酒店,10,1,1,0,0,武汉市武昌区徐东大街343号梨园大酒店,027-87823761
新海景酒店（太平洋店）,硚口区,1288,1288,1288,1288,品牌餐饮,12,5,3,0,0,武汉市硚口区汉口解放大道667号,027-87823761
湖锦国宴店,江汉区,2000,2000,2000,2000,品牌餐饮,18,4,9,0,0,武汉市江汉区新华路243号,027-87823715
保利大酒店,武昌区,2088-2288,2088,2288,2188,星级酒店,10,3,4,0,0,武汉市武昌区武昌区民主路788号,027-87823761
东湖号游轮婚礼,江岸区,2000,2000,2000,2000,特色场地,,,1,0,0,武汉市江岸区沿江大道63号,027-87823715
稻香·迎囍皇宫,武昌区,1988-2688,1988,2688,2338,品牌餐饮,25,1,2,0,0,武汉市武昌区水果湖汉街1号5楼,027-87823715
纽宾凯新时代国际酒店,武昌区,,0,0,0,星级酒店,,,1,0,0,武汉市武昌区武珞路456号纽宾凯新时代国际酒店2楼,
汉正瑞鑫大酒店,硚口区,1288,1288,1288,1288,星级酒店,5,1,1,0,0,武汉市硚口区解放大道148附18号(四中对面),027-87823715
蓝天龙韵大饭店,江岸区,1788-2988,1788,2988,2388,品牌餐饮,5,3,2,0,0,武汉市江岸区黄浦大街工农兵路,027-87823715
武汉长航大酒店,江岸区,1000-1888,1000,1888,1444,星级酒店,30,2,2,0,0,武汉市江岸区惠济路15号,027-87823715
和瑞华美达酒店,江汉区,1688-3588,1688,3588,2638,星级酒店,32,3,1,0,0,武汉市江汉区常青一路36号,027-87823715
武汉蓝天宾馆,硚口区,1399-3899,1399,3899,2649,星级酒店,50,2,1,0,0,"武汉市硚口区解放大道1049号(近宝丰一路,同济医院,武广国际会展中心)",027-83697277
武汉华天大酒店,武昌区,1528,1528,1528,1528,星级酒店,,,1,0,0,武汉市武昌区徐东大街7号（徐东平价广场旁边）,027-87823761
洪山宾馆,武昌区,2680-3880,2680,3880,3280,星级酒店,80,6,1,0,0,武汉市武昌区中北路一号.,
纽宾凯瓦尔登酒店,黄州区,,0,0,0,星级酒店,,,0,0,0,黄冈市黄州区黄州大道99号,027-87823715
武汉会议中心,江岸区,2888,2888,2888,2888,星级酒店,39,4,2,0,0,武汉市江岸区惠济路38号,
