rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
62,小鞋子,9.2,140148, 马基德·马基迪 Majid Majidi,1997,伊朗,剧情 家庭 儿童,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
63,勇敢的心,8.8,299805, 梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,史诗大片的典范。,https://movie.douban.com/subject/1294639/
64,剪刀手爱德华,8.7,492179, Tim Burton,1990,美国,剧情 奇幻 爱情,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
65,音乐之声,8.9,235672, Robert Wise,1965,美国,剧情 爱情 歌舞 家庭 传记,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
66,素媛,9.1,184663, 李濬益 Jun-ik Lee,2013,韩国,剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
67,低俗小说,8.8,340644, 昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,故事的高级讲法。,https://movie.douban.com/subject/1291832/
68,本杰明·巴顿奇事,8.7,400142, 大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
69,黑客帝国,8.8,285845, 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,美国 澳大利亚,动作 科幻,视觉革命。,https://movie.douban.com/subject/1291843/
70,沉默的羔羊,8.7,358852, 乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
71,入殓师,8.8,322803, 泷田洋二郎 Yôjirô Takita,2008,日本,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
72,拯救大兵瑞恩,8.9,241628, 史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 历史 战争,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
73,西西里的美丽传说,8.7,354386, 朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,美丽无罪。,https://movie.douban.com/subject/1292402/
74,蝴蝶效应,8.7,387181, 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
75,玛丽和马克思,8.9,234610, 亚当·艾略特 Adam Elliot,2009,澳大利亚,剧情 动画,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
76,春光乍泄,8.8,249706, 王家卫 Kar Wai Wong,1997,香港 日本 韩国,剧情 爱情 同性,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
